Size 889 
 9.6071473e-05 3.0650208e-04 3.2845374e-04
 5.2742867e-04 5.2799070e-04 7.3586310e-05
 2.7246289e-04 9.7231069e-05 9.6553053e-05
 9.7815811e-05 1.0008585e-04 1.0316505e-04
 1.0712327e-04 1.1194871e-04 1.1764003e-04
 1.2420905e-04 1.3161601e-04 1.3987460e-04
 1.4904677e-04 1.5903075e-04 1.6991827e-04
 1.8164182e-04 1.9422249e-04 2.0768574e-04
 2.2207878e-04 2.3747719e-04 2.5400178e-04
 2.7135287e-04 2.8900197e-04 3.0651505e-04
 3.0703857e-04 3.0851344e-04 3.1166916e-04
 3.1800980e-04 3.4322121e-04 3.5607987e-04
 3.6790544e-04 3.7877551e-04 3.8886833e-04
 3.9802071e-04 4.0653485e-04 4.1434309e-04
 4.2138747e-04 4.3033698e-04 4.3782829e-04
 4.4578784e-04 4.5251113e-04 4.5843395e-04
 4.6394973e-04 4.6927803e-04 4.7402555e-04
 4.7828804e-04 4.8232010e-04 4.8597528e-04
 4.8928180e-04 4.9231180e-04 4.9506094e-04
 4.9764687e-04 5.0048213e-04 5.0281798e-04
 5.0507387e-04 5.0713489e-04 5.0893314e-04
 5.1059544e-04 5.1208150e-04 5.1351503e-04
 5.1480670e-04 5.1604902e-04 5.1718372e-04
 5.1821813e-04 5.1916813e-04 5.2002313e-04
 5.2080332e-04 5.2151263e-04 5.2215478e-04
 5.2273328e-04 5.2323950e-04 5.2373517e-04
 5.2418539e-04 5.2459170e-04 5.2495118e-04
 5.2527067e-04 5.2557830e-04 5.2585297e-04
 5.2610053e-04 5.2632167e-04 5.2652056e-04
 5.2669713e-04 5.2685388e-04 5.2699628e-04
 5.2712502e-04 5.2723823e-04 5.2733935e-04
 5.2750716e-04 5.2757445e-04 5.2763600e-04
 5.2769201e-04 5.2773904e-04 5.2777951e-04
 5.2781508e-04 5.2784588e-04 5.2787229e-04
 5.2789472e-04 5.2791357e-04 5.2792941e-04
 5.2794281e-04 5.2795385e-04 5.2796293e-04
